account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,charge_per_min,high_service_user,day_night_ratio,Actual_Churn,Churn_Probability,Predicted_Churn,Net_Impact_KES
97,408,0,1,32,90.0,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2,0.16998111320964338,0,0.4859348847254468,1,0.17578125,0,-400
52,510,0,0,0,148.3,83,25.21,181.6,79,15.44,155.6,104,7.0,8.3,6,2.24,3,0.1699817948890837,0,0.9530235846025321,0,0.46153846153846156,0,0
179,408,0,0,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,0.16997399753660875,0,0.8957541579829186,0,0.46153846153846156,0,0
96,510,0,0,0,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,6.6,2,1.78,1,0.17001838337697064,0,0.6786132849419682,0,0.46153846153846156,0,0
83,408,0,0,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,0.16998665414462952,0,1.988988300068823,0,0.46153846153846156,0,0
105,415,0,0,0,251.6,88,42.77,175.1,103,14.88,184.4,112,8.3,5.4,5,1.46,1,0.16998529470211837,0,1.3643511740144243,0,0.46153846153846156,0,0
61,415,0,0,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,0.16999645946082648,0,0.8945296592914348,0,0.46153846153846156,0,0
125,415,0,0,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,0.1699851900608853,0,1.0622924072023776,0,0.46153846153846156,0,0
108,510,0,0,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,0.1699733063992497,0,0.5984197573507188,0,0.46153846153846156,0,0
215,510,0,0,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,0.16995574692022486,0,0.36891575835135254,0,0.46153846153846156,0,0
108,408,0,1,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0.1699782316706035,0,1.104856455657336,0,0.17578125,0,0
132,510,0,0,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,0.17003316249623154,0,0.7953001358804253,0,0.46153846153846156,0,0
51,415,0,0,0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7.0,3,1.89,1,0.17000709955764295,0,0.5872165741958244,0,0.46153846153846156,0,0
112,415,1,0,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,0.16997097152739177,0,1.2081187971046938,0,1.0,1,-100
104,408,1,0,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,0.17000187020759305,1,0.5231401454616614,0,1.0,1,-100
105,510,0,0,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,0.16997368608207097,0,0.6478964103036726,0,0.46153846153846156,0,0
88,415,1,0,0,235.1,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,0.17000552932669816,1,0.8222867335874926,1,1.0,1,60
85,415,0,0,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,0.1699871618087585,0,0.9489643969134968,0,0.46153846153846156,0,0
101,510,0,1,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0,0.16997576195142078,0,0.9877234985482146,0,0.17578125,0,0
64,408,1,0,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,0.16997586893018923,0,1.2168358147442173,1,1.0,1,60
104,415,0,0,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,0.17002784575141336,0,0.46341558797074817,0,0.46153846153846156,0,0
113,408,0,0,0,158.9,137,27.01,242.8,109,20.64,247.8,97,11.15,6.5,4,1.76,0,0.169970423510163,0,0.6412170614583754,0,0.46153846153846156,0,0
144,415,0,1,33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,0.16998529470211837,0,1.2026193776588119,0,0.17578125,0,0
86,408,0,0,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,0.1700274430258919,0,0.528339953344682,0,0.46153846153846156,0,0
138,510,0,0,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,0.16997411561691114,0,1.1274384312119194,0,0.46153846153846156,0,0
181,415,1,0,0,161.3,83,27.42,124.4,83,10.57,262.0,98,11.79,14.1,3,3.81,0,0.16998326204203087,0,0.6156253578107707,1,1.0,1,60
112,510,0,0,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,0.17000123248839408,0,0.939006982755295,0,0.46153846153846156,0,0
135,415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0.1699953859336893,0,0.842730959391145,0,0.46153846153846156,0,0
161,415,1,0,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2,0.17000832746140543,0,0.8691052836701743,0,1.0,1,-100
44,510,0,0,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,0.1699601983101739,0,0.6635466382466058,0,0.46153846153846156,0,0
85,415,0,0,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1,0.1700103084608675,0,0.6838023968331435,0,0.46153846153846156,0,0
149,510,0,0,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1,0.1699869760262409,0,1.8166681272456402,0,0.46153846153846156,0,0
135,510,0,1,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,0.17000148949903185,0,1.3009495510625928,1,0.17578125,0,-400
90,415,0,1,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,1,0.1699199550624912,0,0.3809319993579798,0,0.17578125,0,0
184,510,1,0,0,213.8,105,36.35,159.6,84,13.57,139.2,137,6.26,5.0,10,1.35,2,0.1700107572143492,0,1.5358092091085414,0,0.5076923076923077,0,0
153,408,0,0,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,0.16998542982030113,0,0.8990344961428365,0,0.46153846153846156,0,0
83,510,0,1,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,0.1700013250298132,0,1.6944839458124394,0,0.17578125,0,0
64,510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0.16998896175573017,0,0.5804530549168897,0,0.46153846153846156,0,0
118,408,0,0,0,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10.0,1,2.7,2,0.1699857376789393,0,0.698756044442804,0,0.46153846153846156,0,0
148,415,0,1,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,0.16998141631410385,0,0.9622921502225943,0,0.17578125,0,0
82,415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,0.1699910092903999,0,1.1117692791825553,1,0.46153846153846156,0,-400
135,408,0,0,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3,0.16996327556214164,0,0.8406911868262824,0,0.46153846153846156,0,0
11,510,0,1,38,209.8,130,35.67,196.6,84,16.71,233.0,79,10.49,7.0,7,1.89,1,0.1700109622992231,0,0.9003905411784903,0,0.17578125,0,0
83,415,0,1,20,95.0,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0,0.16998210714661613,0,0.473555655251483,0,0.17578125,0,0
130,415,0,0,0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,0.16996985440318133,0,0.5929785858278499,0,0.46153846153846156,0,0
75,510,0,1,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,0.17000607164541592,0,0.8674689032048944,0,0.17578125,0,0
73,415,0,0,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,0.1699703449352271,0,1.374722838137472,0,0.46153846153846156,0,0
107,510,0,1,31,160.3,45,27.25,221.5,70,18.83,261.6,109,11.77,5.6,1,1.51,1,0.16998315763208782,0,0.6127441611559191,0,0.17578125,0,0
85,415,1,0,0,197.2,97,33.52,211.7,115,17.99,210.1,133,9.45,8.3,4,2.24,4,0.16997109680036512,1,0.9385559944790824,0,1.0,1,-100
182,415,0,0,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,0.17000465766185374,0,1.2831593949703464,1,0.46153846153846156,0,-400
46,510,0,0,0,250.3,100,42.55,260.6,90,22.15,195.0,104,8.78,13.3,2,3.59,2,0.16998921337541448,0,1.2835239218501617,1,0.46153846153846156,0,-400
85,510,0,1,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,0.1699798735920342,1,1.8941876797538626,0,0.17578125,0,0
58,510,0,0,0,131.9,96,22.42,167.6,107,14.25,205.9,106,9.27,14.7,5,3.97,3,0.16996436964597075,0,0.640571123306299,0,0.46153846153846156,0,0
166,510,0,0,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,0.16997208755692672,0,0.9418384760850513,0,0.46153846153846156,0,0
185,408,0,1,29,151.1,121,25.69,244.7,88,20.8,154.4,91,6.95,13.8,2,3.73,2,0.17000860300443388,0,0.9785635645359756,0,0.17578125,0,0
86,510,0,0,0,70.7,125,12.02,211.0,113,17.94,174.6,107,7.86,0.0,0,0.0,2,0.16999010041012583,0,0.4049023538170781,0,0.46153846153846156,0,0
130,510,0,1,26,257.2,108,43.72,224.3,122,19.07,204.0,118,9.18,12.6,4,3.4,1,0.1699778391197854,0,1.2607225136022744,0,0.17578125,0,0
113,415,0,0,0,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5,0.16990687796111748,1,0.31001469023858974,1,0.46153846153846156,0,-400
35,408,0,0,0,138.1,115,23.48,158.2,82,13.45,215.7,118,9.71,10.3,2,2.78,5,0.170009412786909,1,0.6402113949283761,1,0.46153846153846156,0,-400
101,408,0,0,0,239.0,156,40.63,273.0,106,23.21,278.2,93,12.52,13.5,8,3.65,1,0.1699928873268901,0,0.859063297509076,1,0.46153846153846156,0,-400
173,415,0,0,0,191.4,114,32.54,168.5,138,14.32,109.3,99,4.92,10.3,3,2.78,1,0.17000156731623217,0,1.7509834415881438,0,0.46153846153846156,0,0
91,415,0,1,20,146.1,98,24.84,277.4,104,23.58,137.7,100,6.2,6.2,3,1.67,1,0.17000889740606395,0,1.0609251325248712,0,0.17578125,0,0
96,415,0,1,45,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,10.3,2,2.78,3,0.17000924400144687,0,0.9438185197830128,0,0.17578125,0,0
31,415,0,0,0,97.5,129,16.58,260.4,78,22.13,88.7,100,3.99,7.0,5,1.89,1,0.17003384268280175,0,1.0990869124112275,0,0.46153846153846156,0,0
180,415,0,0,0,224.9,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3,0.16997910275221198,0,1.0406737309703393,1,0.46153846153846156,0,-400
36,415,0,1,16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,0.17000200789773107,0,1.125762941752694,0,0.17578125,0,0
48,415,0,0,0,171.9,98,29.22,159.0,127,13.52,139.5,101,6.28,7.6,3,2.05,2,0.16997266011284975,0,1.2321697369364204,0,0.46153846153846156,0,0
142,408,0,1,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,0.17000959092614987,0,0.9341280043628999,0,0.17578125,0,0
85,510,0,0,0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2,0.17001560209919153,0,1.2872010224575496,0,0.46153846153846156,0,0
103,510,0,1,29,164.1,111,27.9,219.1,96,18.62,220.3,108,9.91,12.3,9,3.32,0,0.17000792151605632,0,0.7448595161363533,0,0.17578125,0,0
69,415,0,0,0,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,0.17001970031639904,0,1.6549748048611796,0,0.46153846153846156,0,0
91,510,0,0,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,0.1700099219188128,0,0.8610378514914009,0,0.46153846153846156,0,0
106,415,0,0,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,0.17000262214841358,0,0.49159898586223205,0,0.46153846153846156,0,0
112,415,0,0,0,214.8,112,36.52,209.7,104,17.82,164.4,97,7.4,9.4,5,2.54,3,0.1700107071365393,0,1.3064898728787788,0,0.46153846153846156,0,0
185,415,0,1,19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0,0.16998283643760725,0,0.8261120739456962,0,0.17578125,0,0
133,408,0,1,44,174.0,80,29.58,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81,2,0.16999023044652606,0,0.7764044442461292,1,0.17578125,0,-400
8,415,0,1,36,242.9,67,41.29,170.9,59,14.53,177.3,130,7.98,4.8,12,1.3,1,0.1699806512700177,0,1.3699170943545202,0,0.17578125,0,0
176,415,0,1,23,283.2,130,48.14,162.6,74,13.82,177.7,104,8.0,7.2,6,1.94,1,0.1699798735920342,0,1.5936075628833495,0,0.17578125,0,0
83,415,0,1,25,191.3,95,32.52,250.7,136,21.31,249.4,86,11.22,17.6,5,4.75,2,0.16998588678061785,0,0.7670101439396978,0,0.17578125,0,0
79,510,0,1,31,103.1,90,17.53,243.0,135,20.66,76.4,92,3.44,12.2,8,3.29,3,0.17001260789448164,0,1.3492998298652006,0,0.17578125,0,0
153,408,0,0,0,154.6,56,26.28,263.0,84,22.36,367.7,89,16.55,15.5,2,4.19,1,0.1699760688183171,0,0.4204400206684616,0,0.46153846153846156,0,0
100,510,0,1,30,58.8,104,10.0,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,0.17003910899506888,0,0.3860547567461099,0,0.17578125,0,0
76,415,0,0,0,169.5,77,28.82,124.0,87,10.54,219.4,92,9.87,10.0,3,2.7,0,0.17001946787800132,0,0.7725263205870289,0,0.46153846153846156,0,0
58,408,0,1,20,194.5,110,33.07,213.7,89,18.16,236.6,92,10.65,9.5,2,2.57,1,0.17001696570870392,0,0.8220278094755082,0,0.17578125,0,0
94,415,0,0,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,0.17001818081648395,0,0.6308435577491224,0,0.46153846153846156,0,0
123,408,0,0,0,236.2,135,40.15,273.9,88,23.28,227.0,77,10.22,10.1,6,2.73,2,0.16997586893018923,0,1.0404827981146205,1,0.46153846153846156,0,-400
48,415,0,0,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2,0.17000157554750275,0,1.4271793718611798,0,0.46153846153846156,0,0
143,510,0,0,0,155.4,112,26.42,290.9,92,24.73,228.4,91,10.28,13.9,5,3.75,1,0.17000193037771058,0,0.6803555010726325,0,0.46153846153846156,0,0
70,415,0,0,0,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48,0,0.17000987930071731,0,0.9107624897304488,1,0.46153846153846156,0,-400
170,510,1,0,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3,0.16998191681735988,0,1.9336358901867419,0,1.0,1,-100
80,408,0,0,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,0.16997760945166976,0,1.0081168051486482,0,0.46153846153846156,0,0
90,408,0,1,27,156.7,51,26.64,236.5,118,20.1,123.2,111,5.54,12.6,6,3.4,2,0.16999553315040522,0,1.2718123528934338,0,0.17578125,0,0
129,415,0,0,0,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2,0.16999212999398175,0,1.0251055953680415,0,0.46153846153846156,0,0
170,415,0,0,0,285.7,44,48.57,167.5,144,14.24,260.0,97,11.7,8.7,4,2.35,1,0.16999754996324945,0,1.098803892157994,1,0.46153846153846156,0,-400
108,408,0,1,32,209.5,108,35.62,109.6,64,9.32,189.7,145,8.54,9.1,6,2.46,6,0.1700157510381366,1,1.1043171155974911,1,0.17578125,0,-400
57,408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0.16999201915403034,0,1.165781840074435,0,0.17578125,0,0
116,415,0,1,44,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,11.1,2,3.0,0,0.16998395559602794,0,0.9450432359329536,0,0.17578125,0,0
119,415,0,0,0,133.4,102,22.68,204.6,71,17.39,196.9,103,8.86,11.1,7,3.0,1,0.1700022487069935,0,0.6774668630338734,0,0.46153846153846156,0,0
135,510,0,0,0,246.8,129,41.96,187.8,121,15.96,154.5,109,6.95,12.6,5,3.4,1,0.17000931890928245,0,1.597307617629927,0,0.46153846153846156,0,0
22,408,0,0,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0,0.16999662991671083,0,0.8719197346878804,0,0.46153846153846156,0,0
117,408,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,0.17000777930704328,0,0.6699811555270438,1,1.0,1,60
119,415,0,0,0,231.5,82,39.36,266.9,97,22.69,211.0,118,9.49,7.4,10,2.0,1,0.17001425424387717,0,1.0971044026349464,0,0.46153846153846156,0,0
65,408,0,0,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,0.16997498802618274,0,0.8266244335928907,0,0.46153846153846156,0,0
135,415,0,1,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,0.17000659530211557,0,1.4631430480290997,0,0.17578125,0,0
183,415,0,1,8,86.5,119,14.71,285.2,97,24.24,180.4,133,8.12,8.7,2,2.35,2,0.1700381458790891,0,0.4794634443766975,0,0.17578125,0,0
78,415,0,1,25,197.4,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0,0.17000151967985414,0,0.932407538614142,0,0.17578125,0,0
127,510,1,0,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,0.16997402023105412,0,0.7238605898123325,0,1.0,1,-100
99,415,0,0,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,0.16999150042497876,0,0.8557614137178555,0,0.46153846153846156,0,0
115,408,0,0,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,0.16996822391995134,0,0.4934770277935338,0,0.46153846153846156,0,0
118,415,0,1,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,0.17001100668868002,0,0.48103946886073884,0,0.17578125,0,0
112,415,0,0,0,185.4,114,31.52,191.4,119,16.27,144.0,78,6.48,10.0,11,2.7,2,0.17000161803570465,0,1.2874105964863551,0,0.46153846153846156,0,0
160,510,0,0,0,121.8,97,20.71,89.3,97,7.59,150.7,92,6.78,10.3,5,2.78,1,0.1700188818651999,0,0.8081746400371576,0,0.46153846153846156,0,0
140,408,0,0,0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1,0.17001535278018823,0,0.5082962912693836,0,0.46153846153846156,0,0
83,415,0,1,30,272.5,105,46.33,253.0,83,21.51,180.8,123,8.14,8.7,6,2.35,3,0.1700121096473524,0,1.507106907803772,0,0.17578125,0,0
225,415,0,0,0,165.4,106,28.12,273.7,109,23.26,210.0,93,9.45,8.7,3,2.35,0,0.17000181367511033,0,0.7875815437360126,1,0.46153846153846156,0,-400
120,415,0,1,31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,0.1700214969708814,0,0.6465608019881218,0,0.17578125,0,0
113,415,0,1,23,149.0,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,0.16998859136970673,1,0.7383182201080224,0,0.17578125,0,0
63,415,0,1,33,184.2,111,31.31,312.6,89,26.57,264.0,55,11.88,12.2,4,3.29,1,0.16996905705444873,0,0.6977008446649748,0,0.17578125,0,0
86,510,0,0,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,0.16998089307196942,0,0.6709083139452069,0,0.46153846153846156,0,0
136,415,0,1,31,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,0.17000908392145903,0,0.6281550414819367,0,0.17578125,0,0
107,510,0,1,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,0.1700113968584312,0,0.8944638978768673,0,0.17578125,0,0
131,408,0,0,0,240.9,108,40.95,167.4,91,14.23,322.2,109,14.5,14.7,8,3.97,3,0.16998049063965798,0,0.7476490487570219,0,0.46153846153846156,0,0
99,510,1,1,39,126.8,94,21.56,293.6,115,24.96,174.1,91,7.83,8.4,4,2.27,0,0.1700181373708698,0,0.7282752283039459,0,1.0,1,-100
93,415,0,0,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,0.169970033121287,0,1.4629643873548188,0,0.46153846153846156,0,0
90,415,0,0,0,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,0.16999659715132956,0,0.7626710170182789,0,0.46153846153846156,0,0
112,415,0,0,0,174.3,123,29.63,140.2,124,11.92,215.4,89,9.69,9.0,6,2.43,4,0.16998451035511444,1,0.8091546353465485,1,0.46153846153846156,0,-400
116,510,0,0,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,0.1700174133291119,0,0.9207521500413002,0,0.46153846153846156,0,0
116,408,0,0,0,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37,3,0.1700190190767103,0,0.834094514686794,0,0.46153846153846156,0,0
106,415,0,1,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3,0.17000151967985414,0,1.7074647521840671,0,0.17578125,0,0
169,408,0,0,0,266.7,105,45.34,158.2,88,13.45,287.7,111,12.95,13.8,3,3.73,3,0.1699973754264932,0,0.9269750790726774,1,0.46153846153846156,0,-400
111,408,0,0,0,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9.0,6,2.43,3,0.1699728124055986,0,0.4407261106919355,0,0.46153846153846156,0,0
160,415,0,0,0,176.2,90,29.95,196.0,115,16.66,263.9,95,11.88,9.2,4,2.48,1,0.16996765223313093,0,0.667651851009814,0,0.46153846153846156,0,0
115,510,0,1,16,133.3,110,22.66,185.7,111,15.78,161.5,113,7.27,5.6,4,1.51,2,0.16997974645562974,0,0.8253358925143955,0,0.17578125,0,0
112,415,0,1,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,0.17001265056927561,0,0.6920178143199727,0,0.17578125,0,0
